gradient1_norm: 41.078127, loss: 0.202080
gradient1_norm: 17.705400, loss: 0.091705
gradient1_norm: 8.044395, loss: 0.045478
gradient1_norm: 3.672890, loss: 0.024422
gradient1_norm: 1.657385, loss: 0.014364
gradient1_norm: 0.741822, loss: 0.009219
gradient1_norm: 0.362584, loss: 0.006028
gradient1_norm: 0.225446, loss: 0.003139
gradient1_norm: 0.125147, loss: 0.001108
gradient1_norm: 0.034244, loss: 0.000398
gradient1_norm: 0.011035, loss: 0.000145
gradient1_norm: 0.003845, loss: 0.000053
gradient1_norm: 0.001378, loss: 0.000020
gradient1_norm: 0.000500, loss: 0.000007
gradient1_norm: 0.000182, loss: 0.000003
gradient1_norm: 0.000067, loss: 0.000001
gradient1_norm: 0.000024, loss: 0.000000
gradient1_norm: 0.000009, loss: 0.000000
gradient1_norm: 0.000003, loss: 0.000000
gradient1_norm: 0.000001, loss: 0.000000
gradient1_norm: 0.000000, loss: 0.000000
